Vuosi	Tammi	Helmi	Maalis	Huhti	Touko	Kesä	Heinä	Elo	Syys	Loka	Marras	Joulu
1949	76.0	35.0	27.0	36.0	29.0	100.0	49.0	85.0	6.0	65.0	30.0	99.0
1950	18.0	74.0	38.0	81.0	28.0	22.0	48.0	32.0	104.0	98.0	112.0	78.0
1951	68.0	58.0	73.0	52.0	9.0	57.0	40.0	24.0	47.0	11.0	52.0	66.0
1952	62.0	44.0	28.0	45.0	39.0	51.0	45.0	96.0	111.0	180.0	68.0	78.0
1953	33.0	56.0	28.0	18.0	50.0	91.0	121.0	65.0	107.0	26.0	43.0	19.0
1954	50.0	16.0	41.0	27.0	3.0	42.0	78.0	104.0	107.0	53.0	81.0	118.0
1955	85.0	46.0	22.0	40.0	60.0	31.0	16.0	8.0	59.0	90.0	63.0	63.0
1956	76.0	53.0	8.0	70.0	20.0	39.0	104.0	171.0	17.0	54.0	64.0	35.0
1957	47.0	110.0	49.0	43.0	42.0	54.0	77.0	79.0	105.0	84.0	29.0	66.0
1958	53.0	33.0	37.0	25.0	85.0	50.0	72.0	47.0	25.0	38.0	46.0	59.0
1959	108.0	25.0	21.0	43.0	29.0	35.0	55.0	38.0	5.0	48.0	50.0	65.0
1960	60.9	40.9	14.2	36.7	14.4	73.6	109.8	100.2	72.6	24.2	124.7	75.2
1961	54.6	21.6	51.0	28.4	31.7	54.8	64.5	83.7	29.5	35.5	53.9	
1962	65.5	59.8	28.2	62.6	40.1	55.8	53.3	78.4	126.6	49.4	88.5	50.2
1963	32.2	11.0	18.0	14.4	17.4	26.5	31.0	85.6	66.9	138.2	75.1	13.3
1964	28.5	27.1	2.4	25.8	26.9	16.5	35.7	57.5	42.2	62.1	66.3	73.2
1965	53.0	16.5	26.2	14.2	13.5	51.3	60.8	82.9	93.3	37.0	56.8	99.4
1966	27.8	24.7	40.4	46.3	16.7	25.9	53.8	42.7	59.0	59.3	66.4	93.6
1967	25.6	45.8	49.9	36.8	51.7	18.3	25.4	138.6	63.8	142.4	51.5	49.9
1968	37.3	35.4	28.8	35.4	77.0	49.2	59.1	55.1	55.1	90.2	36.7	23.8
1969	38.4	39.8	8.4	46.3	40.1	10.8	66.9	29.3	84.9	29.7	96.4	28.3
1970	30.0	24.6	61.2	83.2	25.8	3.5	111.0	28.8	103.2	89.0	73.6	76.3
1971	43.2	52.7	44.0	14.7	8.0	22.3	21.1	81.2	58.2	54.9	37.0	44.9
1972	14.9	33.4	24.1	63.8	36.0	48.8	79.5	173.5	35.8	31.1	71.1	42.1
1973	18.6	35.0	44.2	59.7	34.3	22.3	24.1	33.0	117.4	75.6	34.0	50.5
1974	64.5	57.2	23.8	14.9	33.7	47.6	52.2	48.6	145.1	183.0	94.2	114.7
1975	52.9	20.4	30.6	60.6	27.9	14.8	12.8	52.4	49.2	24.6	31.8	57.1
1976	34.8	21.7	49.3	22.6	34.1	39.7	49.5	51.6	44.4	31.7	49.3	61.5
1977	45.1	49.8	28.7	112.8	19.1	48.3	106.2	42.8	86.0	90.2	107.4	48.8
1978	22.8	10.9	62.0	33.2	3.9	43.6	96.8	144.9	105.3	20.7	52.1	9.1
1979	67.5	21.7	37.3	27.4	22.5	41.4	95.6	49.3	87.9	24.2	107.7	40.7
1980	20.8	10.2	22.1	31.3	64.6	28.3	31.1	80.3	54.3	127.1	99.9	88.7
1981	45.2	26.2	64.1	9.1	33.4	135.5	70.3	107.6	38.5	132.0	85.8	111.8
1982	44.1	10.5	29.9	70.3	21.5	61.6	47.5	95.3	31.2	38.8	102.2	74.9
1983	70.0	12.9	39.6	22.0	43.2	55.7	21.7	51.3	90.2	88.3	41.7	65.8
1984	84.1	37.7	39.5	15.4	34.9	73.5	114.2	26.1	97.4	127.3	42.0	52.3
1985	25.9	23.8	48.3	49.6	58.1	59.8	72.7	82.2	67.8	34.1	70.2	85.7
